Participant,Age,Gender,Playing Instrument,Studying Music,Performing Musically,Daily Music Interaction,Musicality Value,Date,Time,Years,Avg Age,M/F,,,,,,,,,,,,,,,,,,,,,,,,
1,23,F,1.50,0.00,0.00,0.50,0.500,,,0,31.65,32,,,,,,,,,,,,,,,,,,,,,,,,
2,28,M,1.50,0.50,0.50,1.50,0.833,,,1,10.86,11,,,,,,,,,,,,,,,,,,,,,,,,
3,45,M,4.50,4.50,4.50,3.00,4.500,,,1.5000,,,,,,,,,,,,,,,,,,,,,,,,,,
4,32,M,4.50,1.50,1.50,4.50,2.500,,,3.0000,,,,,,,,,,,,,,,,,,,,,,,,,,
5,35,M,3.00,0.00,0.00,4.50,1.000,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,26,M,1.50,3.00,0.50,0.50,1.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,26,M,4.50,4.50,4.50,3.00,4.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,27,F,4.50,4.50,4.50,4.50,4.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26,M,0.50,0.00,0.50,4.50,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,23,M,4.50,4.50,4.50,3.00,4.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,28,M,3.00,3.00,0.00,0.50,2.000,,,Playing Instrument,Studying Music,Performing Musically,Daily Music Interaction,,,,,,,,,,,,,,,,,,,,,,,
12,56,M,4.50,4.50,4.50,1.50,4.500,,,3.9302,3.0000,2.9070,2.3721,,mean,,,,,,,,,,,,,,,,,,,,,
13,26,M,4.50,1.50,4.50,3.00,3.500,,,1.2031,1.8127,1.8653,1.4520,,std,,,,,,,,,,,,,,,,,,,,,
14,22,F,4.50,4.50,4.50,4.50,4.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,37,M,4.50,3.00,4.50,3.00,4.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,63,M,4.50,4.50,0.00,0.50,3.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,32,F,4.50,3.00,3.00,3.00,3.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,63,M,4.50,4.50,4.50,1.50,4.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,61,M,4.50,4.50,4.50,0.00,4.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,F,3.00,4.50,0.50,0.00,2.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,25,F,4.50,4.50,4.50,4.50,4.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,38,M,4.50,4.50,4.50,4.50,4.500,14-08,20:19,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,34,F,0.50,0.00,0.00,3.00,0.167,26-08,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,35,M,4.50,4.50,4.50,1.50,4.500,26-08,18:52,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,34,M,1.50,0.00,0.00,1.50,0.500,26-08,19:15,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,F,4.50,1.50,1.50,3.00,2.500,29-09,12:38,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,39,M,4.50,0.50,3.00,1.50,2.667,29-09,13:09,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,32,M,4.50,4.50,4.50,3.00,4.500,29-09,14:43,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,25,M,4.50,0.00,3.00,3.00,2.500,04-10,12:17,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,22,M,4.50,0.50,4.50,3.00,3.167,04-10,12:38,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,22,M,4.50,4.50,4.50,1.50,4.500,04-10,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,24,M,4.50,3.00,0.00,0.50,2.500,04-10,13:22,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,M,4.50,3.00,1.50,0.50,3.000,04-10,14:02,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,24,F,4.50,3.00,3.00,1.50,3.500,04-10,15:40,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,24,F,4.50,4.50,1.50,4.00,3.500,04-10,16:10,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,25,M,4.50,4.50,4.50,3.00,4.500,05-10,15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,35,M,4.50,4.50,3.00,1.50,4.000,05-10,16:07,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,29,M,4.50,3.00,4.50,1.50,4.000,06-10,12:19,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,31,M,4.50,4.50,4.50,1.50,4.500,06-10,12:43,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,24,M,4.50,4.50,4.50,3.00,4.500,09-10,12:34,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,25,M,4.50,0.00,3.00,0.50,2.500,10-10,13:20,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,25,M,4.50,4.50,4.50,4.50,4.500,11-10,12:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,27,F,4.50,4.50,4.50,3.00,4.500,11-10,12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,